Year,Region,Acc-ID,y,Budget y,Budget y+1,Slack,Realized_1yr_lag,Realized_2yr_lag,ds,y(t-1),y(t-2),y(t-3),yhat
2022,BE,44,311879.5,310127.0,317307.6,-1752.5,311209.4,316024.1,2022-01-01,311209.4,316024.1,290587.1,138217.66
2022,BE,45,92298.6,68609.2,71586.3,-23689.40000000001,107916.7,101706.2,2022-01-01,107916.7,101706.2,95067.0,1172.2723
2022,BE,46,4102341.8,3987974.8,4484283.0,-114367.0,4233940.0,4080998.0,2022-01-01,4233940.0,4080998.0,4109787.1,3636150.5
2022,BE,47,591595.5,577095.2,584980.0,-14500.300000000048,584180.8,584352.2,2022-01-01,584180.8,584352.2,582437.9,531332.6
2022,BE,49,158505.1,179884.7,195763.6,21379.60000000001,150910.9,153576.1,2022-01-01,150910.9,153576.1,152659.3,4829.021
2022,BE,50,308417.7,293397.9,344422.5,-15019.799999999988,312964.1,307619.3,2022-01-01,312964.1,307619.3,300191.7,158907.23
2022,BE,54,27279.9,32687.0,33273.5,5407.099999999999,56870.2,51148.4,2022-01-01,56870.2,51148.4,27183.1,151.50092
2022,BE,56,337145.0,119677.8,100452.4,-217467.2,116151.9,105918.5,2022-01-01,116151.9,105918.5,147917.7,77032.195
2022,BE,57,11045.3,13850.0,10850.0,2804.7000000000007,19375.2,14991.6,2022-01-01,19375.2,14991.6,18798.4,12381.775
2022,BE,60,4023.4,100.0,100.0,-3923.4,3673.9,5868.6,2022-01-01,3673.9,5868.6,7856.9,2709.328
2022,BE,61,9170.6,4216.0,3469.0,-4954.6,3766.4,5604.6,2022-01-01,3766.4,5604.6,7164.9,3466.6963
2022,BE,62,3723.7,0.0,0.0,0.0,4517.4,871.3,2022-01-01,4517.4,871.3,115.4,-6.150785
2022,BE,63,90759.0,61207.1,46588.4,-29551.9,55326.4,46515.1,2022-01-01,55326.4,46515.1,66974.8,34316.367
2022,BE,64,28695.4,28189.0,24266.5,-506.4000000000015,39597.3,35485.5,2022-01-01,39597.3,35485.5,27746.4,24317.96
2021,BE,65,4934.0,0.0,0.0,0.0,10158.2,500.0,2021-01-01,10158.2,500.0,500.0,873.3698
2022,BE,66,211477.3,610.7,0.0,-210866.6,1503.4,437.2,2022-01-01,1503.4,437.2,16705.4,1534.0662
2022,BE,67,11045.3,13850.0,10850.0,2804.7000000000007,19375.2,14991.6,2022-01-01,19375.2,14991.6,18798.4,10200.566
2022,BL,31,331092.60915,287880.391,288328.731,-43212.21814999997,311371.126,256760.11599,2022-01-01,311371.126,256760.11599,255189.98,162148.86
2022,BL,36,1748034.18893,1758731.381,1794389.17828,10697.192070000106,1850722.109,1759454.83539,2022-01-01,1850722.109,1759454.83539,1703061.33,-86544.95
2022,BL,37,76207.3548,76177.652,77193.8,-29.702799999999115,60138.353,89039.46751,2022-01-01,60138.353,89039.46751,91165.27,44272.594
2022,BL,39,14992.78301,15709.2102,18502.7102,716.4271900000003,20864.852,31347.303600000003,2022-01-01,20864.852,31347.303600000003,32793.9,3248.1077
2022,BL,41,160513.91811,89816.0,90216.0,-70697.91811,159193.15361,115513.67755,2022-01-01,159193.15361,115513.67755,67882.34,37539.297
2022,BL,42,155902.66739,135204.364,123973.675,-20698.303389999983,165098.94738,115629.86472,2022-01-01,165098.94738,115629.86472,126078.63,6748.4985
2022,BL,46,647919.14614,640568.029,670723.08059,-7351.117139999988,732809.21949,603754.86853,2022-01-01,732809.21949,603754.86853,583731.6,640116.06
2022,BL,47,76207.3548,76177.652,77193.8,-29.702799999999115,60138.35348,89039.46751,2022-01-01,60138.35348,89039.46751,91165.27,1456.2484
2022,BL,49,14992.78301,15709.2102,18502.7102,716.4271900000003,20864.852,31347.303600000003,2022-01-01,20864.852,31347.303600000003,32793.9,15448.2705
2022,BL,50,161742.906,172961.8,207218.0,11218.894,144391.295,199284.80232,2022-01-01,144391.295,199284.80232,145793.51994,127194.04
2022,BL,54,0.0,5000.0,3000.0,5000.0,62.002,644.53895,2022-01-01,62.002,644.53895,11850.61088,-21.911041
2022,BL,56,14708.948,21550.0,7250.0,6841.052,3904.495,4027.57494,2022-01-01,3904.495,4027.57494,9359.22563,1044.4939
2022,BL,63,16293.805,20870.0,15180.0,4576.195,15003.877,24540.37641,2022-01-01,15003.877,24540.37641,20456.93228,11568.316
2022,BS,30,1379150.261,1391298.207,1488762.0,12147.945999999996,1338956.282,1301340.757,2022-01-01,1338956.282,1301340.757,1261136.08982,372367.9
2022,BS,31,477806.942,465127.702,494401.0,-12679.23999999999,449660.209,431445.666,2022-01-01,449660.209,431445.666,502485.2674,133178.98
2022,BS,34,233557.474,99916.011,99735.689,-133641.463,162491.69686,238313.819,2022-01-01,162491.69686,238313.819,114289.40342,82238.1
2022,BS,36,2307990.41172,2095788.474,2281046.809,-212201.93772000028,2279256.178,2174060.06,2022-01-01,2279256.178,2174060.06,2038788.30721,1182878.8
2022,BS,39,344708.331,337084.39,361239.463,-7623.940999999992,332146.452,317051.244,2022-01-01,332146.452,317051.244,297141.3154,155655.72
2022,BS,41,119462.891,73932.799,74266.744,-45530.092,116134.15259,85514.545,2022-01-01,116134.15259,85514.545,56856.2757,12058.393
2022,BS,42,333965.413,359848.422,352152.387,25883.00900000002,333229.90297,352594.764,2022-01-01,333229.90297,352594.764,360729.0761,91445.625
2022,BS,46,866210.13531,751718.212,851585.274,-114491.92330999998,897380.559999,752130.214,2022-01-01,897380.559999,752130.214,626554.14759,644256.44
2022,BS,49,344708.331,337084.39,361239.463,-7623.940999999992,332146.45204,317051.244,2022-01-01,332146.45204,317051.244,297141.3154,306927.12
2022,BS,50,285425.755,348480.151,343080.282,63054.39600000001,287538.25798,266011.049,2022-01-01,287538.25798,266011.049,251022.90119,226829.31
2022,BS,51,658.991,0.0,0.0,0.0,-19.78825,173.069,2022-01-01,-19.78825,173.069,1236.21448,-21.937857
2022,BS,52,12542.57,710.0,120.0,-11832.57,14353.01279,17548.089,2022-01-01,14353.01279,17548.089,10650.61879,5357.78
2022,BS,54,55516.929,75857.0,94710.0,20340.071000000004,5379.65935,16223.38,2022-01-01,5379.65935,16223.38,33357.59718,2068.409
2022,BS,55,75028.815,6000.0,3000.0,-69028.815,0.0,1400.0,2022-01-01,0.0,1400.0,6.5,51.902657
2022,BS,56,17598.706,0.0,0.0,0.0,17978.89425,10363.613,2022-01-01,17978.89425,10363.613,14304.7438,13688.365
2022,BS,60,726.371,191.107,645.809,-535.264,4197.37981,1778.263,2022-01-01,4197.37981,1778.263,11766.13536,1630.1083
2022,BS,61,658.991,0.0,0.0,0.0,-19.78825,173.069,2022-01-01,-19.78825,173.069,1236.21448,95.73724
2022,BS,63,10705.936,1276.0,651.0,-9429.936,28058.89556,13006.011,2022-01-01,28058.89556,13006.011,8697.20908,15562.41
2022,BS,64,17755.802,20165.32,19904.55,2409.518,19496.81148,12509.374,2022-01-01,19496.81148,12509.374,11345.8689,5634.322
2022,FR,30,1697890.0,1389755.0,1455267.0,-308135.0,1383063.0,1340457.0,2022-01-01,1383063.0,1340457.0,1308105.0,293151.72
2022,FR,31,418249.0,394843.0,407579.0,-23406.0,389525.0,384342.0,2022-01-01,389525.0,384342.0,368112.9,186868.84
2022,FR,36,1762112.0,1681823.0,1762288.0,-80289.0,1721933.0,1659319.0,2022-01-01,1721933.0,1659319.0,1534217.4,1189897.6
2022,FR,37,220107.0,223152.0,221800.0,3045.0,224543.0,221220.0,2022-01-01,224543.0,221220.0,222097.0,182712.86
2022,FR,39,49063.0,45973.0,46181.0,-3090.0,46812.0,44424.0,2022-01-01,46812.0,44424.0,35812.7,-1512.9285
2022,FR,41,170599.0,69679.0,20427.0,-100920.0,169584.0,139752.0,2022-01-01,169584.0,139752.0,91439.5,170163.25
2022,FR,42,268533.0,256824.0,257801.0,-11709.0,336636.0,236003.0,2022-01-01,336636.0,236003.0,228077.3,143272.38
2022,FR,46,1740328.0,1684060.0,1827143.0,-56268.0,1630327.0,1496434.0,2022-01-01,1630327.0,1496434.0,1494956.0,1422418.1
2022,FR,47,219769.0,223152.0,221800.0,3383.0,224843.0,221281.0,2022-01-01,224843.0,221281.0,222502.0,185491.47
2022,FR,49,49063.0,45973.0,46181.0,-3090.0,46812.0,44424.0,2022-01-01,46812.0,44424.0,35812.7,8420.142
2022,FR,50,86837.0,114366.0,154125.0,27529.0,68053.0,73260.0,2022-01-01,68053.0,73260.0,106004.2,10777.122
2022,FR,54,8528.0,12938.0,20200.0,4410.0,8311.0,9049.0,2022-01-01,8311.0,9049.0,30933.3,3742.7756
2022,FR,55,52102.0,10600.0,6600.0,-41502.0,850.0,1500.0,2022-01-01,850.0,1500.0,5844.6,-260.66998
2022,FR,56,66298.0,69916.0,77521.0,3618.0,44674.0,37065.0,2022-01-01,44674.0,37065.0,30675.6,6046.66
2022,FR,57,14973.0,30608.0,25401.0,15635.0,11516.0,12260.0,2022-01-01,11516.0,12260.0,8053.4,2721.6223
2022,FR,63,7583.0,10857.0,14458.0,3274.0,10654.0,7623.0,2022-01-01,10654.0,7623.0,7556.1,5956.3755
2022,FR,64,16263.0,11284.0,11283.0,-4979.0,11457.0,11186.0,2022-01-01,11457.0,11186.0,11503.4,3519.9473
2022,FR,66,0.0,50.0,50.0,50.0,16.0,18.0,2022-01-01,16.0,18.0,14.7,16.932262
2022,FR,67,17543.0,30608.0,25401.0,13065.0,11516.0,12260.0,2022-01-01,11516.0,12260.0,8053.4,5628.049
2022,GE,30,2684696.7,2637286.94,2854563.2,-47409.76000000024,2643601.91,2605792.57,2022-01-01,2643601.91,2605792.57,2539866.9,1571495.0
