ds,y,yhat,yhat_lower,yhat_upper,Region,Acc-ID
2022-01-01,195134.4,287137.5272297666,287137.52666014445,287137.527933272,SG,48
2022-01-01,675150.9,694771.5591346736,616035.5822079171,770871.5874052945,SG,49
2022-01-01,107710.7,102364.2414735457,87280.3031738062,116951.56318803164,SG,50
2022-01-01,12784.3,1282.4211725807527,-3298.8281169375773,6188.240363236865,SG,52
2022-01-01,20909.7,152781.5902326017,36104.67098595704,262382.35687471455,SG,54
2022-01-01,870.3,11713.792477920142,6139.490501974595,17842.688326012954,SG,56
2022-01-01,4344.5,520.5457801458069,-3302.1773499871906,4097.131142949314,SG,57
2022-01-01,26.7,19016.31046408554,-21291.63962698431,57130.13859561164,SG,60
2022-01-01,1823.0,2474.5140645781134,553.7377695337414,4644.548368541368,SG,61
2022-01-01,26685.9,24355.74196490551,16584.822325731653,31201.55513985343,SG,63
2022-01-01,29751.7,33052.042520206785,17131.98613906687,47432.399627017316,SG,64
2022-01-01,0.0,,,,SG,66
2022-01-01,4344.5,2127.057464303731,80.21264111916538,4308.545027445612,SG,67
2022-01-01,912465.57105,982207.1200638195,982207.1178475495,982207.1227850646,SH,10
2022-01-01,303790.15665,298470.51441432635,298470.51359752467,298470.5151416439,SH,14
2022-01-01,446529.19758,504800.8964016115,504800.8952842364,504800.89742002904,SH,20
2022-01-01,769726.53012,774868.5671199419,774868.5655281688,774868.5686439358,SH,29
2022-01-01,265375.67377,219012.96534045224,195713.79210523228,242626.74088599952,SH,30
2022-01-01,81185.88198,76278.49472618087,69327.2848413437,83488.93543631541,SH,31
2022-01-01,15447.47749,7499.838256560137,7499.838171241748,7499.838334232235,SH,33
2022-01-01,5282.89444,-19304.456677863447,-55120.795015460215,14658.185901272294,SH,34
2022-01-01,21026.12533,36925.95071389308,-7734.075527958682,79178.66461122251,SH,35
2022-01-01,407587.4714700001,404864.1352500787,321661.8716806748,485525.1227074275,SH,36
2022-01-01,92033.50282,94244.48108119184,89319.93904075508,99212.43733025606,SH,37
2022-01-01,55000.0,36521.5268839339,28747.44909174831,46016.73662849853,SH,38
2022-01-01,35332.66324,29502.36849117835,28514.450965958815,30521.840608143575,SH,39
2022-01-01,359534.5229,348677.4692137128,348677.46820176847,348677.4701850705,SH,40
2022-01-01,48650.5508,34148.769132941925,26030.545732130005,42653.1028919298,SH,41
2022-01-01,62801.71341,56528.58733873887,50936.45656404661,62464.96284046679,SH,42
2022-01-01,512.76692,725.6708475506675,-10092.316856921772,11340.858685035864,SH,43
2022-01-01,69650.45543,57023.041644795165,50956.910219606,63166.864057219034,SH,44
2022-01-01,3976.68955,17104.115285128275,-6806.3711613090145,43197.972446376094,SH,45
2022-01-01,296620.29856,268532.4401019596,216423.3154366936,320201.4872762864,SH,46
2022-01-01,92033.50282,103623.57844603676,94538.84522158523,112040.54944820433,SH,47
2022-01-01,16597.0012,-5355.359645095366,-5355.359664224031,-5355.359626312776,SH,48
2022-01-01,35332.66324,29502.36849117835,28479.887756587563,30551.277867679328,SH,49
2022-01-01,22411.2558,6875.257060422689,1917.9715920565038,11803.202725285231,SH,50
2022-01-01,739.48538,3299.5107167086408,3057.8723115895323,3570.075169628983,SH,52
2022-01-01,1376.025,1537.6958908789356,-5290.790660854946,7216.859932550526,SH,54
2022-01-01,10000.0,12526.195444385536,8629.892587548647,16307.081340822484,SH,55
2022-01-01,8059.888650000001,7447.522413290587,2118.488703357368,12963.260475419467,SH,56
2022-01-01,6307.491,4605.111619188887,1542.0587588900644,7663.447852440277,SH,57
2022-01-01,449.2184,1376.8300225026642,-446.9085954958159,3191.2630682791246,SH,63
2022-01-01,2352.703,1132.4541884061407,325.2737609085466,1908.0280210928202,SH,64
2022-01-01,10000.0,11389.826282033835,7932.04887412405,14953.01095740405,SH,65
2022-01-01,6307.491,5744.7567561177175,3598.7698921697406,7840.394324098251,SH,67
2022-01-01,488433.6524800001,494541.8105496748,490495.1086019992,498743.60398147645,SO,30
2022-01-01,247253.04692,191038.7425776556,184699.20798200948,197599.94231428314,SO,31
2022-01-01,59977.55404,58740.65292097036,58740.65275786154,58740.65309537139,SO,33
2022-01-01,24271.75351,-27882.52645501186,-48368.884774191414,-7870.815833032801,SO,34
2022-01-01,13771.01762,-45766.25779284365,-70084.89760355846,-23689.640529380136,SO,35
2022-01-01,1481953.08711,1681859.4013751703,1425537.7454651468,1933349.7910611809,SO,36
2022-01-01,127744.3808,67357.12443405278,-3420.6533896074893,138427.1097975593,SO,37
2022-01-01,27290.828,27290.828,27290.82793222959,27290.82806673933,SO,38
2022-01-01,1038337.79565,999732.2723662793,999732.2698779884,999732.2752202111,SO,40
2022-01-01,138014.89155,92849.86678096108,54048.590631053405,131188.69223525783,SO,41
2022-01-01,206563.55574,196778.47695861972,169758.83023014132,224942.6522163922,SO,42
2022-01-01,19999.05636,5264.1047972034285,-823.0059102695894,11293.466379058736,SO,43
2022-01-01,23984.71879,4449.715837674725,-9166.048693453593,18793.13266009429,SO,44
2022-01-01,1544.60723,-599.0071023493874,-1319.940030384084,142.96480206266529,SO,45
2022-01-01,1062674.01318,1134779.1801627672,1013322.9764756003,1249572.2060066739,SO,46
2022-01-01,127744.3808,87084.65305682612,51110.74938113375,123154.39936215583,SO,47
2022-01-01,89311.74441,110861.40092121865,80248.35254730738,139846.72082011757,SO,50
2022-01-01,778.6465999999999,-2277.6278759337674,-6192.182711989003,1499.6242693582253,SO,54
2022-01-01,2898.9149,1775.349158400466,773.165999158565,2653.136643384056,SO,56
2022-01-01,3377.58448,1851.6215552970207,1175.5145683144801,2461.173987136038,SO,57
2022-01-01,898.802489999994,,,,SO,60
2022-01-01,2564.25785,15447.160885151126,2173.300144776424,28795.75097297201,SO,63
2022-01-01,3059.47499,1298.100097185622,-1121.2454079148556,3705.7552453510657,SO,64
2022-01-01,3377.58448,993.3065102308028,-1207.1892017767868,3042.7015699711596,SO,67
2022-01-01,234165.7421,229810.73080853268,215129.80236367715,245057.58153251497,SZ,30
2022-01-01,120485.9588,108953.68748133791,104608.79747900317,113177.71329692348,SZ,31
2022-01-01,21611.1886,16306.174920784411,16306.174668643462,16306.175147420257,SZ,33
2022-01-01,3740.3538,-20137.767823892063,-74414.27211646138,30422.063111470205,SZ,34
2022-01-01,40134.0965,35586.71749114485,26891.9869578065,44073.20294709338,SZ,35
2022-01-01,951490.7608,1259300.740238824,1063451.4921651941,1473491.8142013266,SZ,36
2022-01-01,124529.1744,77152.71052495277,33496.48933410668,121549.19215664314,SZ,37
2022-01-01,94279.1027,89954.03117998267,83322.04798215887,96576.75009033727,SZ,39
2022-01-01,792490.001,849542.6113636473,849542.6089057646,849542.6135267894,SZ,40
2022-01-01,81400.1158,54519.18898452897,37214.91782313065,71120.71470206599,SZ,41
2022-01-01,57209.420600000005,48680.2877659098,38397.48754241023,58067.609877879535,SZ,42
2022-01-01,9125.5713,4411.035173120275,-2520.864677673762,11491.016479188793,SZ,43
2022-01-01,55120.2819,44578.030108639796,29434.602446717163,59993.747732757845,SZ,44
2022-01-01,329.0,3112.832708162021,-9047.412633023148,13316.633701655013,SZ,45
2022-01-01,489074.186,625673.2967980611,536745.1038276254,711323.8929425142,SZ,46
2022-01-01,124529.1744,109030.97683909266,99865.83245319323,117682.41529726736,SZ,47
2022-01-01,94279.1027,89954.03117998267,83655.5913260792,96809.41332301754,SZ,49
2022-01-01,49957.1224,46017.835333439114,35267.58368830965,56156.52132665474,SZ,50
2022-01-01,6600.0365,1770.8430321332844,-4070.9966428927564,7974.834974003298,SZ,54
2022-01-01,3521.4323,7659.642324878816,366.6201415418141,14840.037151725222,SZ,61
2022-01-01,3941.172,4603.951958242212,3991.468043451565,5227.883571118068,SZ,63
2022-01-01,2326.327,2384.133638225121,-633.2515554000425,5224.430963797929,SZ,64
2022-01-01,425678.4,425641.7838875592,423940.32388204866,427339.54197274335,TG,30
2022-01-01,194299.5,210595.7937100629,207219.83289176066,214080.21034525687,TG,31
2022-01-01,30979.8,52673.96588940537,52673.96574114905,52673.9660189048,TG,33
2022-01-01,9251.4,-43595.55261532907,-63501.55115738245,-24450.981234892864,TG,34
2022-01-01,26717.5,32305.499134124366,30377.666566141797,34310.381403720196,TG,35
2022-01-01,1204793.7,1244520.7955478206,1048736.4042280964,1444328.3134159443,TG,36
2022-01-01,295786.9,332038.0875240761,321202.2192937998,344376.35622154357,TG,37
2022-01-01,3105.7,-3147.8094119452544,-3147.80944089681,-3147.809384871439,TG,38
2022-01-01,180931.7,173629.89326166487,171536.90407031612,176102.53639037517,TG,39
2022-01-01,978415.9,1012367.4606851682,1012367.451048673,1012367.4700688652,TG,40
2022-01-01,142768.7,105022.67038578168,68356.71701321703,141529.2607558856,TG,41
2022-01-01,160194.0,165157.34289583657,139711.51083629913,190123.56126806006,TG,42
2022-01-01,7489.8,-1957.0555420872552,-7915.723749918998,3448.659335979498,TG,43
2022-01-01,96193.0,52956.62530449338,44560.57967342655,61750.02950099431,TG,44
2022-01-01,23643.7,19289.130772167988,17841.415894680467,20491.67097852432,TG,45
2022-01-01,560123.5,627018.7520828592,548081.6732999181,703440.3872568891,TG,46
2022-01-01,295786.9,343420.8149808287,318358.7637799446,368439.8611957036,TG,47
2022-01-01,7194.3,445.0827869756522,445.0827557039016,445.0828154921571,TG,48
2022-01-01,180931.7,173627.54221547465,171126.75322860893,175987.74462592442,TG,49
2022-01-01,76769.7,42297.01920038843,25994.611888855306,59089.11572203397,TG,50
2022-01-01,193.7,-308.7130231673881,-308.71302835073124,-308.7130177863341,TG,52
2022-01-01,166.1,14871.242746866243,4989.120059237186,23677.933735118946,TG,54
2022-01-01,12268.9,15307.70709792716,8814.865965220324,22058.560940633284,TG,56
2022-01-01,3593.2,2601.684184976778,561.3188019768817,4582.614998393216,TG,57
2022-01-01,1672.2,1770.8363084807104,904.3018604840664,2571.164325505459,TG,60
2022-01-01,31132.9,19290.960700695112,15502.510720830265,22845.339637302557,TG,63
2022-01-01,694.5,174.23369080160245,69.6566866601635,275.0776023068506,TG,66
2022-01-01,3593.2,3578.497048531663,2346.983448740721,4782.351117023306,TG,67
2022-01-01,1900.0,410.3823317436844,410.3823309347589,410.3823324382411,TG,68
2022-01-01,1139988.0565299997,1151272.476951377,1145366.169725154,1157634.1576789855,TI,30
2022-01-01,349342.4044199998,320410.88906354085,312409.2940470162,329003.29345613444,TI,31
2022-01-01,116987.07237,89781.25895358589,89781.2586610086,89781.25922954388,TI,33
2022-01-01,27044.40365,-39054.79301591235,-116224.53778091355,37824.81913932989,TI,34
2022-01-01,31006.18817,30603.421832875363,24953.993754850242,35419.267054834745,TI,35
2022-01-01,2174714.52933,2595418.642077876,2190331.181540352,2981018.2215240295,TI,36
2022-01-01,156448.85086,55132.380102090916,-42123.701231029685,158122.56657754583,TI,37
2022-01-01,1459.798,-417.0320917491406,-417.0320934483598,-417.0320903155062,TI,38
2022-01-01,222560.0509899998,208275.04810689227,203981.63212108164,212548.2945065217,TI,39
