Referenz-ID,HRM2-ID,HRM2-Bezeichnung,Rechnung 2021,Budget 2022,Anpassung Budget 2022,Budgetplus 2022,Rechnung 2022,Budget 2023,Source,Kanton,Year,Compte,Adaptation Budget**,Compte.1
HRM2_ERGAO,,Ausserordentliches Ergebnis,-562958.6384999999,267593.04068,0.0,267593.04068,-1498120.62482,534401.8955,HRM2_KT_alle,alle,2022,,,
HRM2_ERGER,,Gesamtergebnis Erfolgsrechung,2953150.9111089953,-535285.6751499969,-1904383.6044800007,-2439669.2796299974,3477463.877249996,-809078.8165400004,HRM2_KT_alle,alle,2022,,,
HRM2_ER0003,3,Aufwand,107102262.63168,101776513.15206,2284282.1794800004,104060795.33154,106924978.17333,106679197.84941,HRM2_KT_alle,alle,2022,,,
HRM2_ER0004,4,Ertrag,109995413.642829,101241227.47690001,379898.57500000007,101621126.05190001,110402442.15057999,105870119.03287002,HRM2_KT_alle,alle,2022,,,
HRM2_HK9010,9010,"Abschluss Spezialfinanzierungen und Fonds im EK, Ertragsüberschuss",80422.68803,20487.7,0.0,20487.7,137544.31899,17008.242,HRM2_KT_alle,alle,2022,,,
HRM2_HK9011,9011,"Abschluss Spezialfinanzierungen und Fonds im EK, Aufwandüberschuss",-47965.11104999999,19342.8,0.0,19342.8,-38034.50819,24424.928,HRM2_KT_alle,alle,2022,,,
HRM2_IR0050,50,Sachanlagen,4046563.05669,4916518.1789299995,237261.76427,5153779.9432,4053839.2126800003,5078025.1126,HRM2_KT_alle,alle,2022,,,
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,24064.79695,8584.0,0.0,8584.0,24557.80929,22357.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0052,52,Immaterielle Anlagen,257106.72998,264107.65520000004,20512.9,284620.55520000006,242324.73264000003,313997.88175,HRM2_KT_alle,alle,2022,,,
HRM2_IR0054,54,Darlehen,489841.3853600001,424314.11762999994,160550.0,584864.11763,282236.47860000003,532563.525,HRM2_KT_alle,alle,2022,,,
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,158315.22891,70720.0,0.0,70720.0,178004.11899999998,382856.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0056,56,Eigene Investitionsbeiträge,1294801.0634200003,1348303.15215,57044.312,1405347.46415,1524260.09295,1342371.5839999998,HRM2_KT_alle,alle,2022,,,
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,238804.56694000002,269523.9,158.0,269681.9,228949.67205,260352.75,HRM2_KT_alle,alle,2022,,,
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,807.26295,0.0,0.0,0.0,99.97399999999999,-1500.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0580,580,a.o. Investitionen für Sachanlagen,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0582,582,a.o. Investitionen für immaterielle Anlagen,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0584,584,a.o. Investitionen für Darlehen,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0585,585,a.o. Investitionen für Beteiligungen und Grundkapitalien,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
