Region,Acc-ID,y,Realized_1yr_lag,Realized_2yr_lag,ds
LU,66,21347.047411666663,,,2011-01-01
LU,67,21347.047411666663,0.0,,2011-01-01
LU,45,411068.11842,24656.68862,0.0,2011-01-01
LU,43,113779.0,0.0,0.0,2011-01-01
LU,41,113779.0,0.0,,2011-01-01
LU,42,128722.39535,0.0,0.0,2011-01-01
BE,45,147805.41683,934977.13378,,2011-01-01
BE,49,44615.9116,,,2011-01-01
BE,50,684305.9707599999,,,2011-01-01
BE,54,20044.19005,,,2011-01-01
BE,56,121226.58059,,,2011-01-01
BE,57,121226.58059,,,2011-01-01
BE,58,121226.58059,,,2011-01-01
BE,60,1713.2968500000002,,,2011-01-01
BE,61,1713.2968500000002,,,2011-01-01
BE,62,80433.49571666667,,,2011-01-01
BE,63,80433.49571666667,,,2011-01-01
SZ,34,189863.275,6390.0,,2011-01-01
BE,64,80433.49571666667,,,2011-01-01
BE,66,80433.49571666667,,,2011-01-01
BE,67,80433.49571666667,,,2011-01-01
LU,30,610426.22003,0.0,,2011-01-01
LU,31,208071.25977,0.0,0.0,2011-01-01
LU,34,33390.02383,0.0,0.0,2011-01-01
LU,34,496948.2108625,33390.02383,0.0,2011-01-01
LU,35,496948.2108625,0.0,,2011-01-01
LU,36,496948.2108625,0.0,0.0,2011-01-01
LU,37,496948.2108625,0.0,0.0,2011-01-01
LU,35,26135.50764,496948.2108625,0.0,2011-01-01
LU,39,372249.66067,0.0,0.0,2011-01-01
BE,65,80433.49571666667,,,2011-01-01
SZ,35,189863.275,,,2011-01-01
SZ,36,189863.275,,,2011-01-01
SZ,37,189863.275,,,2011-01-01
GL,43,135.6,,,2011-01-01
GL,45,14928.6,,,2011-01-01
GL,46,118667.8,,,2011-01-01
GL,47,28430.6,,,2011-01-01
GL,49,10680.1,,,2011-01-01
GL,34,5543.6,,,2011-01-01
GL,38,12901.1,,,2011-01-01
GL,48,134.4,,,2011-01-01
GL,57,3607.3,,,2011-01-01
GL,67,3607.3,,,2011-01-01
GL,39,20670.8,,,2011-01-01
GL,40,0.068156107385073,,,2011-01-01
GL,31,162165.3,,,2011-01-01
GL,33,-179243.0,,,2011-01-01
GL,34,-287424.2,5543.6,,2011-01-01
GL,36,-1.6283567716850176,,,2011-01-01
GL,42,58263.1,,,2011-01-01
GL,37,378514.9,,,2011-01-01
GL,41,16143.6,,,2011-01-01
GL,39,10680.1,20670.8,,2011-01-01
GL,30,71379.2,,,2011-01-01
GL,31,31330.8,162165.3,,2011-01-01
GL,33,9019.0,-179243.0,,2011-01-01
GL,35,3306.2,,,2011-01-01
GL,36,189993.0,-1.6283567716850176,,2011-01-01
GL,37,28430.6,378514.9,,2011-01-01
GL,40,110076.0,0.068156107385073,,2011-01-01
GL,38,0.1653385787119113,12901.1,,2011-01-01
GL,42,0.0169945144205421,58263.1,,2011-01-01
GL,43,7682.499999999998,135.6,,2011-01-01
ZG,62,4329.466666666666,,,2011-01-01
ZG,63,4329.466666666666,,,2011-01-01
ZG,64,4329.466666666666,,,2011-01-01
ZG,65,4329.466666666666,,,2011-01-01
ZG,66,4329.466666666666,,,2011-01-01
ZG,67,4329.466666666666,0.0,,2011-01-01
