Year,Region,Acc-ID,Realized,Budget y,Budget y+1,Slack,Alter 0–19,Alter 20–64,Alter 65 und mehr,Geschlecht Mann,Geschlecht Frau,Staatsangehörigkeit Schweiz,Staatsangehörigkeit Ausländer,Zivilstand Ledig,Zivilstand Verheiratet ,Zivilstand Verwitwet,Zivilstand Geschieden ,Zivilstand Unverheiratet ,Zivilstand In eingetragene Partnerschaft ,Zivilstand Aufgelöste Partnerschaft ,Städtischer Kernraum,Einflussgebiet städtischer Kerne,Gebiete ausserhalb des Einflusses städtischer Kerne,Einwanderung,Auswanderung,Wanderungssaldo Ein-und Auswanderung,Zuzüge,Wegzüge,Wanderungssaldo Zu-und Wegzüge,Betreibungshandlungen Verwertungen,Betreibungshandlungen Pfändungsvollzüge,Betreibungshandlungen Zahlungsbefehle,Transferzahlungen von Kantonen an Bund,Transferzahlungen von Kantonen an andere Kantone,Transferzahlungen von Kantonen an Gemeinden,Transferzahlungen von Gemeinden an Kantone,Öffentliche Bildugnsausgaben,Kulturausgaben Kanton,Kulturausgaben Gemeinden,Kulturausgaben Kantone und Gemeinde,"BWS Landwirtschaft, Forstwirtschaft und Fischerei",BWS Bergbau und Gewinnung von Steinen und Erden,"BWS Versorgung, Sammlung, Entsorgung","BWS Transport, IT-Dienstleistung",BWS Finanzdienstleistungen und Versicherungen,BWS Wissenschaft und Kunst sowie sonstige Dienstleistungen,BWS Öffentliche Verwaltung,BWS Private Haushalte als Hersteller,BIP
2021.0,AG,64.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,65.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,66.0,75.39129,137.5,0.0,62.10871,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,67.0,3427.95719,5522.5,6517.5,2094.54281,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,68.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,10.0,2696613.5748300003,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,14.0,1712445.88893,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,20.0,2711205.28962,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,29.0,1697854.17414,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AI,30.0,28195.5,28749.0,0.0,553.5,3417,9616,3327,8389,7971,14479,1881,7387,7051,855,1056,1,8,2,0,0,16360,135,101,34,453,459,-6,260.0,443,1671,0.0,9969.646,1747.514,1846.187,61465.177,1624284.33,271367.0,1895651.33,27.25153,392.31716,100.66752,261.3145,64.64856,191.19192,82.60318,4.17202,1154.73784
2021.0,AI,31.0,16317.8,18008.3,0.0,1690.5,3417,9616,3327,8389,7971,14479,1881,7387,7051,855,1056,1,8,2,0,0,16360,135,101,34,453,459,-6,260.0,443,1671,0.0,9969.646,1747.514,1846.187,61465.177,1624284.33,271367.0,1895651.33,27.25153,392.31716,100.66752,261.3145,64.64856,191.19192,82.60318,4.17202,1154.73784
