Ref-ID,Acc-ID,Name,Realized,Budget y+1,Region,Year
HRM2_neu_ER0040,40,Revenus fiscaux,8429021.8,7226267.1,GE,2022
HRM2_ER0041,41,Patentes et concessions,260338.0,27784.4,GE,2022
HRM2_ER0042,42,Taxes,437567.5,424377.4,GE,2022
HRM2_neu_ER0043,43,Revenus divers,173592.7,97537.9,GE,2022
HRM2_neu_ER0045,45,Prélèvements sur les fonds et financements spéciaux,0.0,0.0,GE,2022
HRM2_ER0046,46,Revenus de transferts,1614240.4,1481614.2,GE,2022
HRM2_ER0047,47,Subventions à redistribuer,82861.6,51947.4,GE,2022
HRM2_ER0049,49,Imputations internes,14519.2,14786.8,GE,2022
HRM2_neu_ER0034,34,Charges financières,201562.8,220682.5,GE,2022
HRM2_neu_ER0044,44,Revenus financiers,271674.6,250579.1,GE,2022
HRM2_neu_ER0038,38,Charges extraordinaires,724213.9,118344.4,GE,2022
HRM2_neu_ER0048,48,Revenus extraordinaires,0.0,0.0,GE,2022
HRM2_IR0050,50,Immobilisations corporelles,339398.3,436265.72125,GE,2022
HRM2_IR0051,51,Investissements pour le compte de tiers,0.0,0.0,GE,2022
HRM2_IR0052,52,Immobilisations incorporelles,42249.097,63543.26275,GE,2022
HRM2_IR0054,54,Prêts,43853.588,22390.232,GE,2022
HRM2_IR0055,55,Participations et capital social,14011.604,17000.0,GE,2022
HRM2_IR0056,56,Propres subventions d'investissement,131805.901,184402.755,GE,2022
HRM2_IR0057,57,Subventions d'investissements à redistribuer,0.0,0.0,GE,2022
HRM2_neu_IR0058,58,Investissements extraordinaires,0.0,0.0,GE,2022
HRM2_IR0060,60,Transfert d'immobilisations corporelles dans le patrimoine financier,12509.589,0.0,GE,2022
HRM2_IR0061,61,Remboursements pour les investissements sur le compte des tiers,0.0,0.0,GE,2022
HRM2_IR0062,62,Vente d'immobilisations incorporelles,0.0,0.0,GE,2022
HRM2_IR0063,63,Subventions d'investissements acquises,65671.283,34705.892,GE,2022
HRM2_IR0064,64,Remboursement de prêts,9387.361,5072.137,GE,2022
HRM2_IR0065,65,Transfert de participations,510.0,0.0,GE,2022
HRM2_IR0066,66,Remboursement de propres subventions d'investissement,292.997,0.0,GE,2022
HRM2_IR0067,67,Subventions d'investissements à redistribuer,0.0,0.0,GE,2022
HRM2_neu_IR0068,68,Recettes d'investissement extraordinaires,0.0,0.0,GE,2022
HRM2_BI0010,10,Patrimoine Financier,4020632.34294,0.0,GE,2022
HRM2_BI0014,14,Patrimoine administratif,16350680.740220001,0.0,GE,2022
HRM2_BI0020,20,Capitaux de tiers,20762137.08533,0.0,GE,2022
HRM2_BI0029,29,Capital propre,-390824.0021700006,0.0,GE,2022
HRM2_ER0030,30,Personalaufwand,82146.505,88723.8,GL,2022
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,33650.825,38707.8,GL,2022
HRM2_neu_ER0033,33,Abschreibungen VV,5599.362,3826.8,GL,2022
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,8836.994,23001.2,GL,2022
HRM2_ER0036,36,Transferaufwand,201766.781,213947.1,GL,2022
HRM2_ER0037,37,Durchlaufende Beiträge,26925.044,26552.0,GL,2022
HRM2_ER0039,39,Interne Verrechungen,34740.68,27991.0,GL,2022
HRM2_neu_ER0040,40,Fiskalertrag,120503.33,120986.0,GL,2022
HRM2_ER0041,41,Regalien und Konzessionen,27650.105,10401.0,GL,2022
HRM2_ER0042,42,Entgelte,25662.409,31873.6,GL,2022
HRM2_neu_ER0043,43,Verschiedene Erträge,393.806,258.0,GL,2022
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,9650.376,5722.8,GL,2022
HRM2_ER0046,46,Transferertrag,143209.948,146310.6,GL,2022
